E_Scan -1.3405747965200E+03 -4.2820102111640E+02  Phi  -180.0
    6.317929    -2.654742     0.655788
    5.155522    -1.910644     1.716228
    6.297790    -0.904239     0.830094
    5.868498    -3.154603    -1.350658
    5.689224    -1.639091    -2.226289
    4.350209    -2.778574    -2.114587
    3.307645    -0.954378    -2.464296
    1.693435     0.840375    -2.523396
E_Scan -1.3405777707100E+03 -4.2734235060249E+02  Phi  -80.0
Coordinate
   -2.894715    -2.514715    -0.408109
   -5.096853    -3.138748     0.007873
   -0.993625     3.594189     0.148774
    1.041250     2.585837     0.179466
    4.875568    -1.540983    -0.057926
   -0.816831     1.235382     0.031821
   -0.657103    -1.620000    -0.845140
   -2.088863    -1.397988    -0.450959
   -4.092716    -2.220299    -0.065108
   -2.689754    -0.226794    -0.128024
   -2.135595     1.126000    -0.041738
   -2.952073     2.256503    -0.022879
   -2.301190     3.468912     0.079459
   -0.307053     2.453293     0.111959
    1.991606     1.532801     0.116042
    2.271403     0.752336     1.225614
    3.219735    -0.250173     1.177186
    3.939768    -0.512012     0.003173
    5.377618    -2.088135     1.184191
    5.776365    -1.585278    -1.188646
    3.662683     0.294070    -1.106471
    2.700238     1.286310    -1.045616
   -4.384656    -0.539550     0.245310
   -0.275123    -0.810796    -1.447748
   -0.589087    -2.553574    -1.388160
   -0.028208    -1.684135     0.035814
   -5.849526    -2.954082     0.632692
   -4.778078    -4.083810     0.010900
    1.363441     3.526709     0.209871
   -4.019778     2.204081    -0.099288
   -2.864601     4.386449     0.102458
    1.736800     0.930916     2.140818
    3.394599    -0.823823     2.064927
    6.107547    -2.853468     0.962274
    4.583067    -2.559570     1.749068
    5.850558    -1.338296     1.818324
    6.423955    -2.444781    -1.089598
    6.400123    -0.694979    -1.272813
    5.226652    -1.704573    -2.113857
    4.187125     0.155156    -2.030154
    2.502356     1.881772    -1.919350
E_Scan -1.3405778766600E+03 -4.2791929255475E+02  Phi  -70.0
Coordinate
   -2.948305    -2.521979    -0.317709
   -5.146686    -3.115941     0.157567
   -0.986937     3.582743     0.074462
    1.042347     2.566990     0.092167
    4.922501    -1.519198    -0.100387
   -0.825934     1.220740     0.016591
   -0.714594    -1.659811    -0.825328
   -2.132222    -1.414571    -0.396544
   -4.135082    -2.209663     0.047421
   -2.712443    -0.232505    -0.075664
   -2.146699     1.117789    -0.029079
   -2.955891     2.253542    -0.022449
   -2.296203     3.464173     0.034683
   -0.307615     2.437069     0.054985
    1.997560     1.519932     0.039539
    2.162608     0.638036     1.095756
    3.120724    -0.354856     1.056463
    3.972540    -0.501423    -0.047507
    5.286661    -2.182708     1.132962
    5.951565    -1.444435    -1.113888
    3.812265     0.407706    -1.097695
    2.833881     1.385981    -1.053140
   -4.402647    -0.521218     0.337678
   -0.320839    -0.841620    -1.407072
   -0.681116    -2.576981    -1.398939
   -0.073372    -1.773025     0.042009
   -5.883171    -2.913757     0.796089
   -4.838142    -4.064342     0.167274
    1.363973     3.508350     0.079424
   -4.025112     2.206006    -0.076988
   -2.853618     4.385566     0.044117
    1.529551     0.727522     1.959144
    3.202173    -1.010297     1.900012
    6.043152    -2.925379     0.923045
    4.437715    -2.703937     1.557366
    5.679146    -1.497874     1.884816
    6.597275    -2.306470    -1.024637
    6.565830    -0.547120    -1.033470
    5.517570    -1.472032    -2.105534
    4.438392     0.360028    -1.965608
    2.726231     2.059119    -1.885501
E_Scan -1.3405779112100E+03 -4.2851796500987E+02  Phi  -60.0
Coordinate
   -3.023461    -2.527435    -0.224339
   -5.220439    -3.076133     0.307936
   -0.978489     3.562460    -0.004165
    1.042047     2.535478     0.004380
    4.989635    -1.488240    -0.141650
   -0.838720     1.198582    -0.000112
   -0.791106    -1.715711    -0.801637
   -2.191289    -1.435154    -0.340360
   -4.196746    -2.189257     0.160211
   -2.743509    -0.238384    -0.024975
   -2.161462     1.106482    -0.019886
   -2.959891     2.249350    -0.028583
   -2.288784     3.455261    -0.016794
   -0.309104     2.410423    -0.003405
    2.006312     1.499124    -0.035374
    2.073209     0.520982     0.944899
    3.048999    -0.454878     0.914134
    4.019476    -0.487271    -0.096694
    5.227441    -2.264655     1.055941
    6.128502    -1.296627    -1.012195
    3.957040     0.518412    -1.065006
    2.959590     1.478033    -1.036716
   -4.430362    -0.491716     0.426047
   -0.364134    -0.882744    -1.335556
   -0.804782    -2.597639    -1.429307
   -0.150734    -1.916746     0.050882
   -5.939742    -2.850783     0.958164
   -4.927998    -4.029486     0.326597
    1.361115     3.476230    -0.047929
   -4.030223     2.210681    -0.063127
   -2.837898     4.381615    -0.023089
    1.350950     0.519269     1.739089
    3.050681    -1.187444     1.695969
    6.014097    -2.979741     0.861274
    4.345603    -2.828910     1.332326
    5.524219    -1.653306     1.908486
    6.779804    -2.155654    -0.934617
    6.707400    -0.405157    -0.768561
    5.814933    -1.226576    -2.046238
    4.674339     0.561664    -1.859524
    2.930510     2.225753    -1.810067
E_Scan -1.3405778042300E+03 -4.2875793499082E+02  Phi  -50.0
Coordinate
   -3.113330    -2.530692    -0.127355
   -5.311604    -3.020335     0.454243
   -0.969029     3.535238    -0.088404
    1.040817     2.494873    -0.080831
    5.071191    -1.449021    -0.181150
   -0.853452     1.171412    -0.018307
   -0.879884    -1.786961    -0.767805
   -2.260101    -1.459115    -0.280786
   -4.271955    -2.159554     0.270040
   -2.779135    -0.244342     0.021501
   -2.177833     1.092729    -0.016975
   -2.963490     2.243380    -0.046557
   -2.279709     3.442251    -0.079239
   -0.310958     2.376370    -0.062582
    2.017984     1.473501    -0.104184
    2.006882     0.405381     0.780096
    3.006184    -0.547712     0.757205
    4.076719    -0.469530    -0.142318
    5.199648    -2.334587     0.955683
    6.295580    -1.146760    -0.888994
    4.089932     0.625258    -1.010251
    3.072088     1.562636    -0.996209
   -4.464435    -0.452147     0.504123
   -0.389516    -0.938087    -1.212578
   -0.949657    -2.599387    -1.480762
   -0.268558    -2.126884     0.062501
   -6.014324    -2.766163     1.111923
   -5.040097    -3.979493     0.486610
    1.355647     3.434474    -0.167339
   -4.034458     2.216163    -0.065362
   -2.819299     4.373810    -0.105045
    1.209067     0.312591     1.490545
    2.944008    -1.352135     1.462248
    6.016696    -3.019425     0.777649
    4.305662    -2.932081     1.082535
    5.393641    -1.805738     1.889350
    6.958638    -1.998001    -0.825495
    6.816933    -0.276205    -0.489242
    6.099976    -0.973209    -1.939741
    4.883832     0.756956    -1.717455
    3.106729     2.380692    -1.694857
