E_Scan -1.3405778857600E+03 -4.2771280421965E+02  Phi  -180.0
    5.133274    -2.274308    -2.002219
    3.781391    -3.032944    -1.163968
    4.582342     0.165610    -1.871578
    2.877685     1.924703    -1.923676
E_Scan -1.3405779069800E+03 -4.2699289938662E+02  Phi  -100.0
Coordinate
   -3.209953    -2.488203     0.012461
   -5.416082    -2.914173     0.613548
   -0.921486     3.513938    -0.181478
    1.056532     2.407295    -0.133140
    4.849256    -1.764434     0.002075
   -0.877298     1.151662    -0.035039
   -0.958072    -1.803633    -0.648118
   -2.338639    -1.439966    -0.185392
   -4.362240    -2.079956     0.393638
   -2.838533    -0.204297     0.060949
   -2.203322     1.112436    -0.027390
   -2.954392     2.285281    -0.095097
   -2.235809     3.460729    -0.169401
   -0.301323     2.337954    -0.120021
    1.972638     1.329435    -0.121746
    2.022760     0.436348     0.940194
    2.960113    -0.579610     0.949101
    3.887879    -0.709493    -0.077315
    6.149314    -1.326426     0.473952
    4.936466    -2.602238    -1.176910
    3.846078     0.199233    -1.125772
    2.889004     1.201469    -1.153384
   -4.525114    -0.361052     0.554169
   -0.519580    -1.033242    -1.261391
   -1.012572    -2.734963    -1.197063
   -0.304333    -1.949632     0.205281
   -6.114683    -2.620606     1.259110
   -5.161048    -3.875650     0.686430
    1.413453     3.320446    -0.302082
   -4.025859     2.288753    -0.110563
   -2.746892     4.406788    -0.225747
    1.318979     0.532562     1.744697
    2.990724    -1.282924     1.761040
    6.769883    -2.193476     0.673056
    6.036149    -0.772311     1.397096
    6.673558    -0.690244    -0.243304
    5.520740    -3.484970    -0.940704
    5.407287    -2.112334    -2.032035
    3.945099    -2.922174    -1.471272
    4.552682     0.126398    -1.932877
    2.853317     1.888399    -1.980537
E_Scan -1.3405784263200E+03 -4.2753110126412E+02  Phi  -80.0
Coordinate
   -3.076552    -2.503629    -0.386416
   -5.290428    -3.042189     0.081303
   -0.947858     3.537834     0.138152
    1.056709     2.478700     0.145205
    4.937563    -1.609468    -0.008343
   -0.843767     1.174756     0.038501
   -0.822025    -1.700850    -0.885096
   -2.227363    -1.420307    -0.439465
   -4.252309    -2.165048    -0.008966
   -2.769068    -0.229770    -0.083625
   -2.167543     1.103646    -0.009048
   -2.947862     2.258919     0.017693
   -2.259693     3.452347     0.094542
   -0.297792     2.376810     0.100067
    2.000625     1.426577     0.078605
    2.037973     0.426202     1.044388
    2.994569    -0.564757     0.981510
    3.969267    -0.566870    -0.015630
    6.015787    -1.400926     0.941875
    5.426077    -2.036493    -1.301741
    3.936849     0.442894    -0.965297
    2.951151     1.420545    -0.925077
   -4.467373    -0.477166     0.325268
   -0.381205    -0.858265    -1.392527
   -0.832490    -2.566860    -1.534414
   -0.196238    -1.926507    -0.028099
   -6.019244    -2.834956     0.726950
   -5.011968    -3.999745     0.062848
    1.394575     3.413174     0.097335
   -4.017781     2.238654    -0.038483
   -2.794448     4.386665     0.118091
    1.301320     0.418620     1.824908
    3.000463    -1.354398     1.710900
    6.597177    -2.311922     1.030705
    5.612809    -1.162110     1.917059
    6.687673    -0.592755     0.643796
    5.949575    -2.978758    -1.184401
    6.118644    -1.330829    -1.765852
    4.594069    -2.194663    -1.975760
    4.668032     0.475160    -1.751435
    2.927322     2.185780    -1.680878
E_Scan -1.3405786979800E+03 -4.2786384268611E+02  Phi  -70.0
Coordinate
   -3.076921    -2.505941    -0.347217
   -5.285310    -3.043680     0.146773
   -0.951687     3.542505     0.109492
    1.054318     2.485904     0.103607
    4.931383    -1.605570    -0.065451
   -0.845046     1.178733     0.027292
   -0.828630    -1.704345    -0.874858
   -2.229680    -1.421926    -0.417154
   -4.249242    -2.165937     0.039343
   -2.769317    -0.229433    -0.064870
   -2.169039     1.105468    -0.006544
   -2.950872     2.259733     0.019082
   -2.263678     3.454707     0.079970
   -0.300033     2.382076     0.073860
    1.998770     1.433978     0.035374
    2.048394     0.440393     1.008915
    3.003419    -0.549865     0.945577
    3.970385    -0.562650    -0.062644
    5.900885    -1.537171     1.013786
    5.551418    -1.914148    -1.334347
    3.924332     0.439218    -1.020267
    2.937071     1.416607    -0.977418
   -4.463175    -0.475816     0.362839
   -0.391823    -0.863426    -1.388357
   -0.845381    -2.572156    -1.521668
   -0.195328    -1.928393    -0.022936
   -6.007805    -2.832318     0.798158
   -5.005703    -4.000979     0.133084
    1.390543     3.420792     0.052913
   -4.021266     2.237538    -0.026289
   -2.799640     4.388399     0.101796
    1.319739     0.437435     1.797001
    3.008428    -1.333299     1.681456
    6.446210    -2.472720     1.064707
    5.402649    -1.388174     1.961442
    6.620832    -0.727228     0.877199
    6.069394    -2.862417    -1.247881
    6.280039    -1.168027    -1.659532
    4.794781    -2.013664    -2.101838
    4.645520     0.469388    -1.814821
    2.906285     2.174451    -1.740424
E_Scan -1.3405786689000E+03 -4.2810363142903E+02  Phi  -60.0
Coordinate
   -3.072196    -2.509156    -0.308976
   -5.275338    -3.047651     0.207342
   -0.958017     3.548200     0.078616
    1.050410     2.496117     0.064696
    4.932730    -1.591381    -0.115579
   -0.846144     1.183939     0.016158
   -0.830141    -1.707124    -0.861798
   -2.228015    -1.423776    -0.395094
   -4.242124    -2.168495     0.084012
   -2.767549    -0.229593    -0.048593
   -2.170099     1.107321    -0.006531
   -2.954672     2.259771     0.015445
   -2.269882     3.456892     0.060720
   -0.303460     2.389017     0.047659
    1.996764     1.445439    -0.002401
    2.058414     0.459731     0.978783
    3.014150    -0.528808     0.918744
    3.973556    -0.554004    -0.099743
    5.788505    -1.679544     1.053876
    5.662653    -1.795936    -1.344958
    3.914754     0.441333    -1.065020
    2.925843     1.417476    -1.021911
   -4.457400    -0.476141     0.394705
   -0.397674    -0.868341    -1.382300
   -0.850830    -2.578065    -1.504308
   -0.190530    -1.926850    -0.013437
   -5.992985    -2.832182     0.862730
   -4.993521    -4.004369     0.199991
    1.384060     3.431798     0.012053
   -4.025337     2.234620    -0.021180
   -2.808037     4.389423     0.079013
    1.337231     0.461626     1.773794
    3.016402    -1.302949     1.663603
    6.301621    -2.634119     1.048604
    5.207288    -1.620929     1.962001
    6.539385    -0.887044     1.080259
    6.190409    -2.740303    -1.283431
    6.399441    -1.015981    -1.550622
    4.977146    -1.851143    -2.180577
    4.628690     0.471171    -1.865303
    2.889718     2.168049    -1.791891
E_Scan -1.3405782653800E+03 -4.2809099296760E+02  Phi  -50.0
Coordinate
   -3.064888    -2.512328    -0.269880
   -5.263461    -3.051579     0.264941
   -0.964822     3.554165     0.045029
    1.046150     2.507056     0.027509
    4.938906    -1.573674    -0.158053
   -0.847043     1.189573     0.005182
   -0.828358    -1.709612    -0.844216
   -2.224179    -1.425513    -0.371832
   -4.233334    -2.170910     0.126726
   -2.764880    -0.229473    -0.033857
   -2.170802     1.109474    -0.008691
   -2.958411     2.259933     0.007133
   -2.276432     3.459213     0.036599
   -0.307107     2.396374     0.021293
    1.994887     1.458023    -0.035582
    2.068264     0.482027     0.953139
    3.026289    -0.504955     0.899276
    3.977823    -0.544838    -0.128246
    5.677056    -1.823479     1.065759
    5.764813    -1.681547    -1.337392
    3.907383     0.445465    -1.101430
    2.917466     1.419520    -1.060333
   -4.451331    -0.476171     0.422121
   -0.401351    -0.874829    -1.375525
   -0.850438    -2.586921    -1.477967
   -0.182950    -1.919099     0.002349
   -5.977670    -2.831505     0.922546
   -4.979044    -4.007550     0.265440
    1.376914     3.443595    -0.027924
   -4.029219     2.231629    -0.022418
   -2.816961     4.390483     0.049454
    1.355032     0.489894     1.755367
    3.026037    -1.264618     1.657437
    6.198025    -2.769057     0.976744
    5.015741    -1.895207     1.915043
    6.413677    -1.045054     1.274117
    6.312373    -2.614942    -1.294158
    6.490808    -0.871396    -1.435973
    5.148367    -1.701577    -2.226552
    4.614790     0.474911    -1.906550
    2.877097     2.162537    -1.837478
E_Scan -1.3405778077200E+03 -4.2795287452522E+02  Phi  -40.0
Coordinate
   -3.056185    -2.514278    -0.227390
   -5.250136    -3.052630     0.327183
   -0.966933     3.559341     0.009893
    1.045913     2.516004    -0.011009
    4.943209    -1.562438    -0.200442
   -0.844694     1.194607    -0.005624
   -0.825068    -1.712518    -0.824527
   -2.218535    -1.426713    -0.346186
   -4.222791    -2.171213     0.173092
   -2.759736    -0.228409    -0.017314
   -2.168284     1.111997    -0.009985
   -2.958174     2.260935    -0.001016
   -2.278293     3.461758     0.011482
